"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"압력 강하, 壓力降下, pressure drop",,공기 주입 케이블의 케이블 내 두 점에서 생기는 압력의 차이.
"압력 계수, 壓力係數, pressure coefficient",,"해저 동축 케이블 부설 시 높은 수압으로 인한 케이블의 손실 증가 비율을 나타내는 계수. 대략 0.25/1,000%/m 정도다."
"압력 시간법, 壓力時間法, pressure-time method",,"가스 케이블의 누설 구멍을 탐색하는 한 방법으로, 압력 강하의 상태를 시간적으로 측정하여 누설 구멍의 위치를 결정하는 것."
"압력 함체, 壓力函體, pressure housing",,"해저의 높은 수압에 견딜 수 있는 강도와 밀폐성 및 바닷물에 의해 부식되지 않는 성질이 있고, 해저 중계기의 중계 증폭 회로를 수용하기 위한 원통형 함체."
"압신, 壓伸, companding",,송신 측에 압축기를 두고 수신 측에는 역특성의 신장기를 두어 송신기 레벨 범위를 좁게 함으로써 잡음이나 누화를 경감시켰다가 수신 시 처음의 상태로 되돌리는 신호 처리 방법. 주로 진폭에 대해 사용되며 신호 대 잡음비(S/N)를 개선하는 효과가 있다. 또 최근의 펄스 부호 변조(PCM) 방식에서는 음향의 레벨 범위를 서서히 좁혀 부호 수를 적게 하기 위해 송신 측과 수신 측에 압축기와 신장기를 병용한다.
"압신기, 壓伸器, compander",,"압축기(compressor)와 신장기(expander)의 합성어. 전송 시의 레벨 범위를 좁게 함으로써 잡음이나 누화를 경감하기 위하여 사용한다. 압축기에서는 송신 측 출력 신호의 레벨 변화를 압축하며, 신장기에서는 수신 측 입력 신호의 레벨 변화를 신장하여 신호를 본래대로 되돌리는 작용을 한다."
"압전 리니어모터, 壓電-, Piezoelectric Linear Motor",,"전기를 가하면 수축과 팽창이 일어나는 압전 세라믹의 단순 왕복 진동과 톱니를 이용하여 선형, 또는 왕복 운동의 모터 기능을 하도록 한 것. 회전력을 중요시하는 회전 모터와는 달리 직선 모터는 빠른 시간내에 정확한 위치를 찾아가 정확히 정지하는 초고속, 초정밀의 위치 제어 능력이 중요하다. 가볍고 소형으로 제작할 수 있으며, 전원으로 초음파를 사용하기 때문에, 소음이 없을 뿐더러 전자파 장해가 거의 없는 것이 특징으로 고급 카메라의 렌즈 구동 장치 등으로 사용된다."
"압전 반도체, 壓電半導體, piezoelectric semiconductor",,"압전 효과를 발생하는 반도체. CdS, CdSe, ZnO, ZnS 등의 II-VI족 간 화합물 및 GaAs 등의 III-V족 간 화합물 등이 압전 반도체로 주목되고 있다. 압전 효과를 이용하여 초단파(VHF)대에서 극초단파(UHF)대까지의 전기 신호를 초음파로 변환하는 소자로 사용된다. 또 이들 초음파 변환 소자를 이용하면 초음파의 증폭이 가능해진다."
"압전 세라믹 기술, 壓電-技術, Piezo Ceramic Technology",,"물리적 압력이 가해지면 전기가 발생하는 모듈을 세라믹 소자로 구성하는 기술. 유동 인구가 많은 지하철역이나 백화점, 통행 차량이 많은 교량 등에 설치해 전기를 생산하여 활용할 경우, 전기 에너지를 절약할 수 있다. 일본의 경우, 하루 최대 90만 명이 왕래하는 시부야역 바닥에 압전 세라믹 기술을 적용하여 30인치 LCD TV를 4시간가량 시청할 수 있을 정도의 전력을 생산하고 있다."
"압전 소자, 壓電素子, piezoelectric element",,"압전 효과가 큰 로셀염, 티탄산 바륨 등을 사용하여 압력-전기 변환을 직접적으로 하는 소자. 압전 마이크로폰, 레코드 재생의 픽업, 수화기, 확성기, 초음파 발생기 등에 쓰인다."
"압전 전계 효과 트랜지스터, 壓電電界效果-, PiezoElectric Field Effect Transistor, PE-FET",,기계적인 힘을 가하여 얻어진 전압으로 전계 효과 트랜지스터(FET)에 흐르는 전류를 제어하는 소자. 나노 기술과 융합하여 나노 전자 소자를 구현하는 기술이다.
"압전 제어, 壓電制御, piezoelectric control",,자려 발진기는 발진 주파수가 변화하기 쉬워 압전 효과를 내는 결정체(무선 통신용으로 수정)를 써서 발진 주파수가 일정해지도록 제어하는 것.
"압전 효과, 壓電效果, piezoelectric effect",,"기계적인 압력을 가하면 전압이 발생하고 전압을 가하면 기계적인 변형이 발생하는 현상. 힘을 가해 변형을 주면 표면에 전압이 발생하고, 반대로 전압을 걸면 소자가 이동하거나 힘이 발생하는 현상. 압전 효과를 이용한 대표적인 제품은 마이크로폰, 스피커, 초음파 탐지기, 수정시계 진동자 등이 있으며 최근에는 같은 크기의 소형 모터보다 출력이 높고 소음이 적은 점 때문에 휴대폰 카메라모듈의 줌/자동초점 기능을 위한 렌즈 구동장치에도 적용되고 있다."
"압축, 壓縮, compression",,"원형은 유지하면서 데이터의 량을 줄이거나 전송 속도나 주파수 대역을 축소하는 것. ☞데이터 압축, ☞대역 압축"
"압축 SLIP, 壓縮-, compressed Serial Line Internet Protocol, compressed SLIP",,압축 인터넷 주소를 사용하는 직렬 회선 인터넷 프로토콜(SLIP) 버전의 하나. 압축된 주소 정보를 사용하기 때문에 SLIP보다 더 신속하게 IP 접속을 할 수 있다.
"압축 가공물, 壓縮加工物, compression artifact",,압축 이미지 또는 비디오에 솜털 현상이 발생하거나 일그러짐이 발생하는 것. 사진이 제이펙(JPEG) 형태로 압축될 때 약간의 데이터가 상실되는데 이 데이터들을 뷰어(viewer)로 보는데는 별 지장이 없다. 사진의 질과 상관없는 작은 파일의 JPEG인 경우에는 압축 가공물이 생기게 되나 큰 파일인 경우에는 어떤 가공물도 생기지 않는다. 디지털 비디오 파일 압축 시 비디오를 디지털 픽셀로 분할할 경우와 비디오 스트림에서 단절이 생길 경우에 압축 가공물이 생긴다.
"압축기, 壓縮器, compressor",,"전송로상의 잡음 및 누화를 경감시키는 방법의 하나로, 전송 회로의 입력 측에 설치하여 변동 폭이 큰 입력 신호의 진폭을 일정 진폭의 범위 내로 압축하는 회로. 압축 방법에 따라 선형 압축기와 비선형 압축기가 있다."
"압축 기법, 壓縮技法, compaction technique",,"데이터베이스에서 한 레코드를 제거할 때 실제로 저장 장치에서는 제거하지 않고 표시만 해 두고, 주기적으로 저장 장치에 산재되어 사용되지 않는 부분들을 한곳으로 모으는 기법."
"압축 디스크, 壓縮-, compressed disk",,스태커(Stacker) 또는 더블 스페이스(Double Space)와 같은 압축 유틸리티를 사용하여 데이터를 압축함으로써 기억 용량이 증대되어 있는 하드 디스크 또는 플로피 디스크.
"압축 볼륨 파일, 壓縮-, Compressed Volume File, CVF",,"프로그램 드라이브스페이스(DriveSpace)에 의해 생성되는 파일. 드라이브스페이스는 디스크를 압축하여 공간을 늘리는 역할을 하는 또 다른 디스크 드라이브로서, 압축된 파일을 하드 드라이브에 저장하고 검색할 때에도 압축 볼륨 파일(CVF)로부터 파일을 읽는다."
"압축비, 壓縮比, compression ratio",,"압축기의 출력 레벨의 증가 분에 대한 입력 레벨의 증가 분의 비. 전화 회선의 잡음, 누화, 유도 잡음 등을 줄이는 방법의 하나로 쓰이는 압신기에서는 송신 측의 압축기로 입력 레벨 범위를 음절 포락 진폭이나 순시값 진폭에 비례하는 제어 신호에 따라 적당한 비율로 압축하고, 수신 측에 놓인 신장기로는 반대로 그 입력 레벨 범위를 늘려서 원래의 신호 레벨 범위를 완전히 복귀한다. 이때의 압축비를 다음의 식으로 정의한다.압축비(α)＝그리고, 신장비는 다음의 식으로 정의되는데, α와 β는 같도록 설계한다.신장비(β)＝"
"압축비, 壓縮比, compression factor",,"주사(走査), 광전 변환의 과정에서 디지털 처리(표본화, 양자화)되어 1(흑), 0(백)의 펄스로 변환된 화상 신호의 전체 비트 수(송신 원고 내의 전체 화소 수)와 그 군더더기 비트량의 억제 후 또는 전송 전의 부호화 신호의 비트 수의 비 &nbsp;대역 압축을 한 아날로그 팩스의 경우에는 대역을 압축하기 전후의 전송 시간의 비를 말한다."
"압축 유틸리티, 壓縮-, compression utility",,"컴퓨터 파일이나 통신 메시지와 같은 데이터 집합을 기록하거나 전송하는 데 필요한 기억 공간이나 주파수 대역을 축소하기 위해 데이터를 좀 더 작은 크기로 변환해 주는 유틸리티 프로그램. 다양한 압축 유틸리티가 있으며, 컴프레스(compress), 지집(gzip), LHPAK, PKZIP 등이 널리 사용되고 있다."
"압축파, 壓縮波, compressional wave",,탄성 매체(彈性媒體) 내의 파동. 전파(傳播) 방향에서만 속도 성분을 수반한 매체 용적의 변화에 의해 전파한 파동이다. 소밀파(疎密波)라고도 한다.
"압축 파일, 壓縮-, compressed file",,디스크나 기타 기억 장치상에서 압축되지 않은(원래의) 상태에서 좀 더 작은 기억 공간을 점유하기 위해 특수 압축 유틸리티 프로그램(compression utility program)을 사용하여 압축한 내용을 담고 있는 파일.
"압축 프로그램, 壓縮-, compaction program",,"기억 공간, 대역폭, 비용, 전송 시간, 생성 시간, 자료 저장 장소 등을 줄이는 데 이용되는 기법. 중복을 피하고 부적절한 것을 제거하기 위해 설계된 기법이다."
"앙각, 仰角, wave angle",,수신 안테나에 들어오는 전파의 도래각 또는 송신 안테나에서 나가는 전파의 방향과 지면과의 각도.
"앞면 압축, -面壓縮, front compression",,"데이터 압축 방법의 하나로, 기억 영역상의 데이터의 앞부분에서 같은 값의 부분을 생략하는 압축 방법. 색인 키 등의 키값의 압축에 이용되며, 특히 0(zero) 억제를 실행하는 숫자 항목 등에서 자릿수의 편차가 많은 데이터를 취급할 때에 유효하다."
"앞선사용자, -使用者, early adopter",동의어 : 얼리어답터,"최첨단 제품을 먼저 구입해 사용해보지 않고는 못 견디는 사람들. 앞선사용자(얼리어답터)는 신제품에 빠르게 반응하는 사용자 구매 계층이지만, 기업 측면에서 보면 제품 선전 및 개선에 중요한 역할을 하고 있어, 가격이나 서비스면에서 인센티브를 제공하기도하며, 신제품 개발이나 마케팅 및 판매 전략으로 이용되기도 한다."
"앞자리 부호, -符號, prefix code",,"장거리 자동 전화(DDD)의 수신지에서 국가 번호, 서비스 종류 번호, 국제간 인식 번호와 같이 가입 전화번호 앞에 붙이는 하나 또는 그 이상의 숫자."
"앞 처리기, -處理器, preprocessor",,①원시 언어가 포트란이나 파스칼과 같은 고수준 언어의 확장된 형태이고 목적 언어가 동일한 언어의 표준 형태인 번역기(translator). 앞 처리기가 목적 프로그램을 생성한 후에 목적 프로그램이 표준 언어를 위한 일반 번역기에 의해서 번역되고 수행된다. ②예비 계산이나 구조에 영향을 주는 컴퓨터 프로그램. ③데이터 조작 처리 언어(DML) 명령을 포함하는 원시 프로그램을 물리적 데이터베이스로 접근하기 위해 적절한 문장으로 변환시키는 모듈.
"앞 표기법, -表記法, prefix notation",,"수학상의 식을 구성하는 방법으로, 각 연산자는 피연산자의 앞에 놓이고 여기에 잇대어지는 피연산자 또는 중간 결과에 대하여 행해지는 연산을 나타내는 것. A와 B를 더해 그 합에 C를 곱하는 것은 X＋ABC라는 식으로 표시된다. 또 P와 Q와 R의 논리곱 결과인 논리곱은 &amp;P&amp;QR라는 식으로 표시된다."
"애그노스틱 기술, -技術, agnostic technology",,"작동 시스템에 대한 아무런 지식이 없더라도 기능을 수행할 수 있도록 하는 기술. 예를 들어, 플랫폼 애그노스틱(platform-agnostic) 소프트웨어 기술은 어떠한 운영 체제나 프로세서의 조합인지에 대한 아무런 지식이 없더라도 상관없이 기능을 수행할 수 있는 소프트웨어 기술을 의미한다. 또한, 장치 애그노스틱(device-agnostic) 소프트웨어 기술은 데스크톱, 랩톱, 노트북, 태블릿PC, 스마트폰 등의 어떠한 장치인지에 대한 아무런 지식이 없더라도 상관없이 기능을 수행할 수 있는 소프트웨어 기술을 의미한다."
"애너글리프 방식, -方式, Anaglyph Method",,"색상 차를 이용해 3D 영상을 구현하는 방식. 왼눈 영상은 청색으로 오른눈 영상은 적색으로 형성한 뒤, 이를 겹쳐 스크린 위에 투영하고, 이 영상을 왼눈에는 청색, 오른눈에는 적색의 필터가 붙은 안경으로 좌우 영상을 인식하는 방식이다. 특수한 스크린을 필요로 하지 않으며 안경도 싸기 때문에 손쉬운 방식이지만 필터의 색과 안경의 색이 일치하지 않을 경우 크로스토크가 발생하기 쉬우며, 옅은 색을 사용하면 컬러 영상도 가능하나 색의 재현성은 떨어진다."
"애니메이션, animation",,"컴퓨터 내부에서 생성되는 일련의 화상을 화면상에 연속적으로 표시하여 움직이는 것같이 보이게 하는 기법, 또는 그와 같이 한 영상. 최근 컴퓨터 이용 학습(CAI) 등에서도 학습자의 이해를 돕기 위해, 복잡하고 난해한 사항의 해설에 이와 같은 방법을 많이 쓰고 있다."
"애니메이션 구조 확장, -構造擴張, Animation Framework eXtension, AFX",,"엠펙-4(MPEG-4) 표준의 하나로 3차원(3D) 객체에 대한 외형, 텍스처, 애니메이션 등의 데이터를 효과적으로 압축하고 표현할 수 있는 기술의 집합체. 무손실 압축(lossless compression) 기능, 고효율 텍스처 압축 기능, 효과적인 애니메이션 지원을 위한 부가 정보 제공 기능 등 기존의 3차원 메시 부호화(3DMC: 3D Mesh Coding)를 확장 지원하는 기능이 추가되었다."
"애니메이션 도형 교환 서식, -圖形交換書式, Animated Graphic Interchange Format, Animated GIF",,"도형 교환 서식(GIF) 화상을 여러 개 작성해서 생기 있는 동화(動畵)를 재생하는 기술 또는 그 화상 서식. 애니메이션 지프라고도 하며, 웹 페이지에서 자주 사용된다. 공유웨어의 ‘GIF construction set’나 ‘Photo-Impact GIF Animator’ 등의 화상 도구를 이용해서 작성한다. 지정된 순번에서 화상을 점차 절체하면 표시되는데, 도중에 다른 화상을 삽입하거나 삭제할 수 있다. 손쉽게 작성할 수 있으나 자바(Java)나 쇽웨이브(Shockwave)와 비교해서 그림의 움직임 등 유연성이 다소 떨어진다. 간단한 애니메이션 기능은 ‘GIF 버전 89a’의 스트림(stream) 기능을 구비하고 있다."
"애니메트로닉스, Animatronics",,애니메이션(animation)과 일렉트로닉스(electronics)의 합성어로 기계적 뼈대나 전자 회로를 가지고 제작한 실물과 흡사한 캐릭터를 원격 조정을 통해 움직이게 하는 CT(culture technology) 기술. 애니메트로닉스로 제작된 모형은 배우와 함께 같은 시공간에서 실제 존재하는 장면을 연출하며 실물과 똑같으면서도 미세한 움직임까지 원격으로 조정이 가능하여 위험한 장면에 주로 활용된다. 컴퓨터 그래픽스(CG)와 달리 사실감이 뛰어나다.
"애니웹, AnyWeb",,삼성전자가 국내 기술로 개발한 모바일 인터넷 브라우저. 마이크로소프트사에서 개발한 ME와 호환성을 갖는다. 하이퍼텍스트 마크업 언어(HTML) 언어로는 삼성의 자체 표준 마크업 언어인 sHTML을 사용한다.
"애니캐스트, anycast",,"IPv6에서 한 송신자와 인근에 있는 일단의 소수 수신자간의 통신. 특정 다수에게 전송하는 멀티캐스트나 특정인에게 전송하는 유니캐스트와 구분된다. 애니캐스트는 일단의 수신자들을 묶어 하나의 그룹으로 나타낸 주소를 사용하여 그룹 내에서 가장 가까운 호스트에게만 전송하는 것으로, 한 호스트는 그룹내의 호스트들을 위한 라우터 테이블을 현행화하고, 가장 가까운 호스트로 선택되면 마치 유니캐스트 처럼 패킷을 전송받아 그 그룹 내의 다른 호스트와 애니캐스트 통신을 한다."
"애니캐스트 어드레싱, anycast addressing",,"여러 도착지중에서 가장 가까운 위치에 있는 도착지로 라우팅하는 네트워크 어드레싱 방식. 전화의 대표번호나 112, 114 서비스와 같이 하나의 패킷에 여러 도착지가 있을 경우 토폴로지상에서 측정된 가장 짧은 거리에 있는 도착지에 전달하는 방법이다. 애니캐스트는 TCP와 같은 연결(connectionless) 프로토콜 보다는 UDP와 같은 무연결((connection-oriented)) 프로토콜에 적합하다. IPv6에서 새로 추가된 것으로 RFC 2526 - Reserved IPv6 Subnet Anycast Addresses로 문서화 되어 있다."
"애니큐플러스, Auditory Non-Intrusive Quality Estimation Plus, ANIQUE+",,객관적인 음질 평가 방법 중 하나. 사람의 귀와 뇌가 소리를 인지하고 분석하며 음질을 평가하는 과정을 공학적으로 분석해 통화 품질을 평가하는 방법으로 입력 음성과 출력 음성을 비교해서 음질을 평가하는 기존의 객관적 음질 평가 방법과 달리 출력 음성만으로 품질을 측정하는 방법이다. 미국표준협회(ANSI)에서 표준으로 채택되었다.
"애니타임 서비스, Anytime Service",,사용자가 원하는 멀티미디어 콘텐츠를 원하는 시간에 텔레비전(TV)을 통해 볼 수 있게 하는 서비스. 저장 장치가 있는 단말인 PDR(Personal Digital Recorder)을 이용하는 서비스가 대표적인 예이다. 콘텐츠 개발자에서부터 가전 기기에 이르는 전 분야에서 상호 동작성(interoperable)이 보장되는 규격을 만드는 것을 목적으로 1997년부터 티브이 애니타임 포럼(TV Anytime Forum)이 구성되어 활동하고 있다.
"애니타임 알고리듬, anytime algorithm",,"알고리듬이 언제 중단되더라도 최선의 해답을 얻을 수 있고, 오래 실행될 수록 결과가 향상되는 알고리듬. 결과를 얻는 데 많은 시간을 소요되거나 얻은 결과가 비록 부분적이더라도, 목표까지의 거리가 단축되고, 실행을 반복 수행하면 결국 목표에 도달할 수 있다는 근거로 인공 지능 연구에서는 중요한 알고리듬으로 활용되고 있다."
"애니팡, Anipang",,"선데이토즈가 개발한 카카오톡 기반 모바일 게임. 게임 방식은 제한 시간 1분 동안 같은 동물 세 마리 이상을 가로, 세로로 맞춰 없애는 것이다. 일정한 게이지가 차면 폭탄이 설치되며 폭탄을 누르면 그 폭탄이 설치된 가로, 세로의 모든 동물이 터진다. 카카오톡 사용자끼리 점수 경쟁을 할 수 있도록 되어 있다."
"애니피싱, Any Fishing",,"휴대전화를 이용해 물고기의 위치 및 수온·수심 등의 정보를 알려주는 서비스 초음파를 활용한 낚시찌 형태의 송신장치를 강이나 바다에 띄워 놓으면 수중의 수온, 수심, 어군 위치정보가 휴대전화에 연결된 RF수신기에 무선으로 전송된다. 전송 정보는 휴대전화 화면에 그래픽으로 나타난다."
"애드몹, AdMob",,"구글(Google)이 운영하는 글로벌 모바일 앱 광고 플랫폼. 수만 개의 모바일 애플리케이션에 광고를 삽입할 수 있는 형태로 해외와 국내 모바일용 앱에 광고를 게재할 수 있으며, 무료 앱이라도 애드몹을 통해 광고를 하면 개발자는 일정 액수의 수익을 거둘 수 있다. 'Advertising on Mobile'의 합성어이다."
"애드뷰, Ad View",,배너파일이 성공적으로 다운로드된 횟수. 다운로드 된 품질과는 관계없다.
"애드어웨어, Ad-aware",,"컴퓨터로부터 사용자의 정보를 빼내 가거나 프로그램 상태를 변경하는 유해한 프로그램들을 검색·제거해 주는 프로그램. 메모리, 레지스트리, 하드 디스크, 휴대형 드라이브를 검사하여 사용자에게 해가 되거나 이익이 되지 않는 프로그램들을 검출해 내고 제거한다. 코드 식별 기술(CSI)을 사용해서 알려진 것뿐만 아니라 새로운 형태의 변형 코드에 대한 식별이 가능하다. 또한 NT 파일 시스템(NTFS) 볼륨상 숨겨져 삭제가 어려운 ADS(Alternate Data Streams)를 탐색할 수 있는 능력이 있다."
"애드웨어, adware",,"무료로 사용되는 프리웨어(freeware)나 일정한 금액으로 제품을 구매해야 하는 셰어웨어(shareware) 등에서 광고 보는 것을 전제로 사용이 허용되는 프로그램. 광고성 자체는 정당한 행위에 속하나, 정상적인 컴퓨터 사용을 불가능하게 할 정도로 무분별한 팝업 광고나 인터넷 브라우저의 시작 페이지를 고정하여 사용자의 인터넷 이용을 불편하게 하는 경우, 사용자도 모르게 개인의 정보가 제3자에게 넘어가게 하는 스파이웨어(spyware) 등이 있을 수 있으므로 컴퓨터 안전과 프라이버시 면에서 세심한 주의가 필요하다."
"애드인, add-in",,"①컴퓨터나 장치에 기능을 늘리기 위해 추가하는 컴포넌트. 컴퓨터의 메모리, 그래픽스, 통신 기능 등을 추가하기 위해 사용하며, 그 형태는 확장 보드, 카트리지, 칩 등 다양하다. 기존의 컴퓨터 보드에 칩을 추가하는 애드온(add-on) 대신 사용하는 경우도 있다. ②프로그램의 기능을 확장하기 위한 프로그램. → 애드인 소프트웨어"
"애드 인 소프트웨어, add-in software",,특정 응용 소프트웨어의 기능을 확장하기 위해 그것과 결합하여 사용하는 소프트웨어. 단독으로는 사용되지 못한다. 애드 인 소프트웨어를 끼워서 사용할 수 있는 대표적인 소프트웨어로는 미국 로터스사의 표 계산 소프트웨어 ‘1-2-3’이 있다. 1-2-3의 실행 중에 애드 인 매니저(add-in manager)를 통해 추가 기능을 수행하게 할 수 있다.
"애드콕 안테나, adcock antenna",,"4개의 수직 안테나를 반파장보다 짧은 간격으로 수평 배치한 방향 탐지용 안테나 시스템. 두 쌍의 수직 안테나를 반파장보다 짧은 간격으로 배치하여, 수직 편파 성분에 대해서는 역위상이 되도록 접속하고 수평 편파 성분에 대해서는 8자형의 지향 특성을 지니도록 만들어&nbsp;수평 편파 성분으로 인한 방위 오차를 최소화한다."
"애드혹 네트워크, Ad-hoc network",,"노드(node)들에 의해 자율적으로 구성되는 기반 구조가 없는 네트워크. 네트워크의 구성 및 유지를 위해 기지국이나 액세스 포인트와 같은 기반 네트워크 장치를 필요로 하지 않는다. 애드혹(Ad-hoc) 노드들은 무선 인터페이스를 사용하여 서로 통신하고, 멀티 홉 라우팅 기능에 의해 무선 인터페이스가 가지는 통신 거리상의 제약을 극복하며, 노드들의 이동이 자유롭기 때문에 네트워크 토폴로지가 동적으로 변화되는 특징이 있다. 애드혹 네트워크는 완전 독립형이 될 수도 있고, 인터넷 게이트웨이를 거쳐 인터넷과 같은 기반 네트워크와 연동될 수도 있다. 응용 분야로는 긴급 구조, 긴급 회의, 전쟁터에서의 군사 네트워크 등이 있다. →이동 애드혹 네트워크(MANET : Mobile Ad-hoc NETwork)."
"애드혹 모드, ad-hoc mode",,"무선 AP(Access Point)가 없는 경우 무선 랜 카드끼리 작은 무선 네트워크 그룹을 이루어 파일과 프린터를 공유하는 peer-to-peer 네트워크 동작 모드.  유선랜에서 허브없이 1:1 크로스 케이블로 연결하는 것과 유사하다. 무선랜 인프라가 구축되어 있지 않거나 서비스가 없는 경우에 사용할 수 있는 것으로 무선 특성상 보안이 취약하며, 특히 AP를 사용하는 인프라스트럭처 모드보다는 신뢰성이나 보안성이 떨어진다. IBSS(Independent Basic Service Set)라고도 한다."
"애드혹 주문형 거리 벡터, -注文型距離-, Ad Hoc On-demand Distance Vector, AODV",,"애드혹 모바일 네트워크를 위한 라우팅 프로토콜. 좀 더 적은 메모리로 라우팅이 가능하도록 하기 위해서 데이터 전달 시에만 사용되는 주문형 라우팅 프로토콜로 데이터를 전달하지 않는 경우에는 사용되지 않으므로 라우팅에 의한 오버헤드가 적다. 애드혹 네트워크에 참여하는 무선 노드가 라우팅 경로를 찾기 위해서 사용하며, 기존에 사용했던 라우팅 경로는 다시 찾을 필요 없이 그냥 사용된다."
"애벌란시 광 다이오드, Avalanche PhotoDiode, APD",동의어 : 전자사태 광다이오드,"빛을 많은 전기량으로 변환하는 반도체 소자.불순물 농도가 높은 P+N+ 접합 다이오드에 역방향 바이어스를 높이면서 공간 전하 결핍층(depletion layer)에 빛을 입사시키면 광전 효과(photoelectric effect)에 의해 발생된 전자가 고속으로 N+ 층으로 이동하면서 P층에서 정공(hoel)과 전자가 크게 증가하여 전자사태(avalanche) 상태의 많은 전류가 N+ 측으로 흐르는 다이오드다.&nbsp;&nbsp;광통신용의 수광 소자로 이용되며 재료로는 저마늄(Ge), 규소 (Si), 백금-갈륨비소(Pt-GaAs) 등이 사용된다. 애벌란시 광 다이오드는 전류 증폭 작용으로 신호 대 잡음비(S/N)가 높고, 고속 디지털 회선에 적합하다. 그러나 바이어스 전압이 높고, 온도 의존성이 크다는 등의 결점이 있다. 광통신의 검출기로는 그 밖에 PIN 다이오드(PD) 등이 사용된다. 참고로 양자 암호 키 분배 시스템(QKD system) 및 양자 해킹에서 사용하는 단일 광자 검출기(SPD: Single Photon Detector)는 인듐․갈륨․비소-인화인듐(InGaAs-InP) APD로 단일 광자를 검출하기 위해 내부 이득(gain)을 무한대에 가깝게 가져갈 수 있도록 구조가 구성되어 있다."
"애스펙트, aspect",,전통적인 클래스와 조직 모델을 추월하는 새로운 형태의 소프트웨어 모듈로서 클래스와 유사하지만 클래스를 초월하는 관심사를 해결하는 구조물. 메소드와 필드를 가지고 있는 애스팩트가 다른 클래스나 애스팩트를 확장하고 인터페이스를 구현할 수 있다.
"애슬론, Athlon",,"미국 AMD사가 만든 X86 계열의 마이크로프로세서와 호환성이 있는 아키텍처를 가진 32비트 마이크로프로세서. AMD사에서 내놓은 7세대 마이크로프로세서로 K6의 다음 버전인 K7의 다른 이름이기도 하다. 처음으로 1GHZ에 도달한 중앙 처리 장치(CPU)로 인텔의 펜티엄 3와 성능이 비슷하다. 2001년 이후에는 한 단계 발전시킨 ‘애슬론 XP’을 새 브랜드를 내놓았다. 이전 버전인 K6 시리즈처럼 3차원 그래픽스 명령어 ‘3DNow’를 탑재하여 동영상, 게임 그래픽 방면에서 우수한 평가를 받고 있다. 주로 0.18미크론(micron) 기술로 개발되었으며, 스로브레드(Throughbred) 코어와 바톤(Barton) 코어는 펜티엄 4와 같이 0.13미크론 기술로 공정되었다."
"애자일 모델, agile model",,"소프트웨어 개발과정에서 지속적으로 발생하는 변경에 유연하고 기민하게 대응하여 생산성과 품질 향상을 목표로 하는 협력적 소프트웨어 개발 방법론. 프로젝트의 생명주기 동안 개발 팀원들 간의 상호작용과 고객과의 협업을 중심으로 반복적, 점진적인 계획을 통해 요구사항의 변화를 관리하고 또한 문서 작업보다 코딩과 테스트 기반의 접근을 통해 소프트웨어를 개발하는 방식이다. 익스트림 프로그래밍(Extreme Programming, XP), 스크럼(Scrum), Lean 등이 있다."
"애저티 키보드, AZERTY keyboard",,"영문 타자기나 컴퓨터 키보드 배열의 한 가지인 애저티(AZERTY)형의 키보드. 키보드의 첫 번째(맨 위) 문자 줄에 문자 키가 왼쪽부터 A, Z, E, R, T, Y의 순서로 배열되어 있어서 AZERTY 키보드라고 부른다. 일부 유럽 국가에서 사용되고 있다.&nbsp;"
"애크러뱃, Acrobat",,"문서를 캡처하거나 원래의 포맷 및 외관 상태 그대로를 보여 주는 기능을 가진, 어도비 시스템즈(Adobe Systems)사에서 만든 프로그램. 애크러뱃은 문서 또는 컴퓨터 화면을 통해 볼 수 있도록 설계된 전자 브로슈어를 만드는 데 적합하며, 인터넷을 통해 해당 자료를 다른 사람들과 공유할 수 있다. 애크러뱃은 실제로는 하나의 제품군(群)인데, 스캐닝을 통해 문서를 읽어 들이거나, 탁상 출판 소프트웨어로 만들어진 문서를 캡처할 수 있는 툴킷을 제공한다. PDF 및 EPS 파일 확장자를 갖는 파일을 처리하며 압축 능력, 하이퍼텍스트 연결, 색인 등도 뛰어나다."
"애플리케이션 가상화 솔루션, -假想化-, Application Virtualization Solution",,"모든 애플리케이션을 실행 파일 형태로 묶어 제공하는 기술. 오피스, 포토샵 등의 주요 상용 애플리케이션 사용자가 프로그램을 일일이 PC에 설치하지 않고 바로 사용할 수 있도록 하나의 실행 파일(.EXE)로 만들어 주는 기술이다. PC와 운영 체계를 바꿀 때마다 한 번 설치한 실행 파일은 다른 PC에 그대로 옮겨 쓰지 못하지만 애플리케이션 가상화 솔루션을 이용하면 프로그램 수행에 필요한 닷넷, 자바, 시스템 DLL의 환경까지도 함께 묶어 놓기 때문에 어느 PC든 어느 환경이든 상관없이 사용이 가능하다."
"애플리케이션 그리드, Application Grid",,"정보 기술(IT) 자원과 이 자원을 사용하는 소프트웨어를 분리해 애플리케이션마다 필요한 자원을 공유하고 배분하는 아키텍처. 그리드 개념을 애플리케이션에 도입하여 IT 자원을 하나의 공유 서비스로 모으고 필요에 따라 자원을 배분해 사용함으로써 하드웨어에 투입되는 비용을 줄이고, 고객에게 신속한 서비스를 제공할 수 있도록 해준다. 동시에 IT 인력 관리 및 컨트롤도 향상시킨다."
