"1+1 주소, 一-一住所, one plus one address",동의어 : 1+1 번지,하나의 명령어가 연산자와 데이터 주소 및 다음 명령어 주소로 구성되는 아주 단순한 명령어 체계 또는 방식. 호출 시간이 짧고 계산 속도가 빠르다.
"2090 바이러스, 2090 Virus",,"Win32/AimBot.worm.15872, Virus.Win32.PureMorph!IK, Win32:PureMorph, Trojan/W32.Agent.15872.AY, V.WOM.Aimbot.CC, Trojan/Win32.Crypt.15872.B 등으로 명명된 컴퓨터 바이러스. 시스템의 날짜를 2090년으로 바꾸는 주요 증상 때문에 ‘2090 바이러스’로 알려졌다. 이 바이러스는 마이크로소프트(MS)사 윈도의 자동 실행(Autorun) 취약점을 이용해 외장 저장 장치 등을 통해 전염되는 웜 바이러스이다."
"22.2 채널 음향, -音響, 22.2 Channel Audio",,"슈퍼하이비전(SHV)에서 채택하고 있는 서라운드 오디오 시스템. 청취자를 중심으로 위쪽 9개, 중간 10개, 아래쪽 5개(서브우퍼 2개 포함), 합계 24개 스피커로 원음에 가까운 서라운드 음향을 제공한다. 그림은 22.2 채널 음향 시스템의 스피커 배치도다. "
"2-205 규칙, -規則, 2-205 rule",,100Base-T 혹은 고속 이더넷망에서 사용하는 규칙. 망에서 케이블로 연결된 두 허브의 최대 거리는 205m를 초과할 수 없다는 규칙이다.
"240㎐ 영상 구현 기술, -映像具現技術, 240㎐ Video Embodiment Technology",,초당 240장의 영상을 구현하는 기술. LCD의 단점인 잔상을 개선하기 위한 기술로 게임이나 스포츠중계 등 역동적 영상에서도 화면 끌림 없이 선명한 화질을 구현한다. 주로 풀HD LCD패널에 적용하고 있다.
"2단계 기억 장치, 二段階記憶裝置, two-level storage",,"한 사용자의 가상 주소 공간이 실주소 공간보다 커지는 것을 허용하고, 한 시스템을 효과적으로 다중 프로그램하여 여러 사용자가 실기억 장치를 공유할 수 있도록 하는 기억 장치. 첫 번째 단계는 프로세스가 수행되고 참조할 수 있도록 데이터를 저장하는 실기억 장치로 구성되며, 두 번째 단계는 제한된 실기억 장치에 전부 다 들어갈 수 없는 프로그램과 데이터를 저장할 수 있는 디스크와 드럼같이 큰 용량의 기억 장치들로 구성된다. 이때 두 번째 단계의 기억 장치를 일반적으로 보조 기억 장치 또는 예비 기억 장치라고 한다."
"2단계 도메인, 二段階-, Second-Level Domain, SLD",,"인터넷 주소에서 특정 관리 주체를 나타내는 URL(uniform resource locator)의 일부분. 예를 들어, ‘abc.com’에서 abc를 2단계 도메인(SLD), com을 최상위 도메인(TLD)이라 하고, abc.com을 2단계 도메인 이름이라 하여 인터넷 주소로 사용한다. SLD는 다른 차원의 서브 도메인으로 분류될 수도 있는데, 이 경우 다른 부서의 컴퓨터 서버를 지칭하는 것이다."
"2단계 디렉터리, 二段階-, two-level directory",,"각 사용자는 자신의 사용자 파일 디렉터리(UFD)를 갖고, 각 사용자 디렉터리는 선형, 2진, 해시 등과 같이 비슷한 구조를 가지면서 오직 한 사용자 파일만 기술한다. 한 사용자 업무를 시작하거나 사용자를 받아들이려고 할 때 시스템의 주 파일 디렉터리(MFD)를 탐색한다. MFD에는 사용자의 이름이 색인되어 있고, 각 항목은 한 사람의 사용자에 대한 사용자 디렉터리를 가리킨다."
"2단계 문법, 二段階文法, two-phase grammar, two-level grammar",,파라미터를 포함한 문맥 자유 문법(context-free grammar)과 그 파라미터부에 대입되는 문자열의 집합을 뜻매김하는 문맥 자유 문법으로 구성되는 문법. 프로그램의 의미론(semantics)을 간결하게 뜻매김할 수 있는 것을 특징으로 한다.
"2단계 커미트, 二段階-, two-phase commit, 2PC",,복수의 컴퓨터에 분산 배치되어 있는 데이터베이스를 갱신할 때 커미트 처리(commit processing)를 갱신 준비 단계와 갱신 단계의 2단계로 나누어 제어하는 것. ①1단계: 응용 프로그램은 데이터베이스의 갱신 처리 마지막 단계에서 ‘커미트’라는 명령을 내린다. 커미트 명령을 접수한 마스터 컴퓨터는 갱신 대상의 모든 서버에 대해서 ‘커미트 준비’라는 지시를 보낸다. 각 서버는 실제로 데이터를 갱신할 준비가 되어 있으면 ‘준비 완료’라고 응답한다. ②2단계: 마스터의 컴퓨터는 모든 서버로부터 ‘준비 완료’의 응답을 받으면 각 서버에 ‘커미트 처리’를 지시한다. 이 지시를 받은 각 서버는 실제로 자기 디스크(magnetic disk)의 데이터를 갱신한다. 어느 한 대의 서버에서도 처리에 이상이 있으면 마스터 컴퓨터는 모든 서버에 후퇴 회복(rollback) 처리를 명령한다. 이것으로 처리 중이던 데이터 갱신을 모두 무효화된다. 대부분의 관계형 데이터베이스 관리 시스템(RDBMS)은 2단계 커미트 기능을 가지고 있다.
"2단 동작 계전기, 二段動作繼電器, two-step relay",,여러 개의 접점이 있어 그 가운데 가까운 몇 개의 접점이 먼저 동작하여 이 접점에 의해 공급된 전원으로 나머지의 접점이 동작하게 되는 2단 동작 구조의 계전기.
"2 단자망, 二端子網, two-terminal network",,2개의 접속 단자를 가진 회로망. 보통 전원을 포함하지 않는 수동 회로망을 말하기도 한다. 임피던스나 어드미턴스는 2단자망의 일종으로서 4단자망의 성질을 생각할 때의 기본이 되는 것이다. 2단자망에서 인덕턴스로 되어 있는 것은 리액턴스 2단자망이라고 한다.
"2독립 측파대, 二獨立側波帶, two independent sidebands",,1개 반송파의 상하 두 측파대 방식을 서로 다른 2개 통화로의 각 신호파에 할당하는 독립 측파대 방식에서 얻게 되는 독립된 상하 각 측파대.
"2바이트 문자, -文字, double-byte character",,"2바이트로 구성된 전각(全角) 문자. 텍스트 표시 모드에서는 반각(半角) 문자의 가로의 2배 크기로 표시된다. 우리나라 외 중국, 대만, 일본 등 2바이트 문자권을 위한 CJK(Chinese, Japan, Korean) 통합 한자가 정해져 있다. 또한 국제 표준화 기구(ISO)는 UCS-2(Universal Multiple-Octet Coded Character-2) 2바이트 문자 코드를 정하고 있다. → 유니 코드"
"2바이트 정수형, 二-整數型, two-byte integer type",,"정수값을 정확히 표현한 것으로, 그 절댓값이 32,767을 초과하지 않는 값을 취하고, 2바이트의 기억 영역을 차지하는 데이터형."
"2배 속도 클록, 二倍速度-, clock doubling",,"입출력 장치에 대한 클록 속도를 유지하면서, 중앙 처리 장치(CPU) 내의 데이터 및 명령 처리 속도를 배수로 증가시키는 기술. 'CPU 클록 = 외부 클록 * 배수'를 말하며 오버클록킹(overclocking)은 외부 클록을 높이는 것을 말한다. 이 기술은 1992년에 발표된 인텔사의 i486 DX2가 최초로, 시스템의 클록 주파수와 처리 속도는 33MHz이지만 CPU 내부의 수행 속도는 2배인 66MHz로 동작된다. CPU의 처리 속도가 2배가 되어도 주기억 장치인 램(RAM)이나 주변 장치와 데이터를 주고받는 속도는 그대로이기 때문에 컴퓨터 전체의 처리 속도가 2배로 되는 것은 아니다. 1993년에 발표한 i486 DX4의 내부 처리 속도는 3배가한 100MHz로 동작된다."
"2배속 동기식 동적 램, 二倍速同期式動的-, Double Data Rate Synchronous Dynamic Random Access Memory, DDR SDRAM",동의어 : 2배속 에스디램,"2배속(DDR: Double Data Rate) 모드라고 하는 고속의 데이터 전송 기능을 가진 동기식 동적 램(SDRAM: Synchronous DRAM). 기존의 SDR SDRAM(Single Data Rate SDRAM)은 클락 사이클의 상승단(rising edge) 또는 하강단(falling edge)에서 명령어 또는 데이터를 한 번만 주고받은 반면, 2배속(DDR) SDRAM은 클락 사이클의 상승단(rising edge)과 하강단(falling edge) 모두에서 명령어 또는 데이터를 주고받아 2배의 전송 속도를 실현한다. 2배속(DDR) SDRAM은 클락 주파수에 따라 333 MHz 상당의 DDR333, 400 MHz 상당의 DDR400 등이 있다. DDR은 2비트의 데이터를 한번에 액세스할 수 있는 내부 구조를 갖고 있다. 이를 개선한 DDR2와 DDR3는 각각 4 비트와 8 비트의 데이터를 동시에 액세스할 수 있게 하여 더욱 넓은 메모리 대역폭을 제공한다."
"2분 탐색 나무형, 二分探索-形, binary search tree",동의어 : 이진 찾기나무꼴,"프로그래밍에서 나무형 데이터 구조의 하나로, 최상의 노드에서 잎(leaf: 종단) 방향으로 탐색할 때 각 노드에서 나와 있는 가지(branch)가 많아야 좌우로 하나씩 2개뿐인 구조. 이 구조는 정보를 분류하는 데 자주 사용된다. 종단이 아닌 임의의 노드에 저장되는 데이터 요소의 값이 그 노드의 좌측 가지에 저장되는 어떤 데이터 요소의 값보다 크고, 우측 가지에 저장되는 어떤 데이터 요소의 값보다 작게 되도록 저장되어 있는 2분 나무형(binary tree) 데이터 구조이다."
"2비트 바이트, 二-, doublet",,"2개의 2진 문자로 된 바이트. 동일한 어원에서 분할된 2개의 낱말(word), 즉 이중어이다."
"2선식 반송 방식, 二線式搬送方式, two-wire carrier system",,"전송 시스템에서 1쌍의 나선 또는 케이블 심선을 사용하는 반송 방식. 다음 3가지 방식이 있다. ㉠양방향 동일 주파수 대역을 사용하는 양측파대(double sideband) 방식. ㉡상하 측파대를 방향별로 사용하는 단측파대(single sideband) 방식. ㉢전송 대역을 방향별로 고저 양측파대의 2다중군으로 나누는 방식. ㉠, ㉡ 방식은 나선에 적용되며, 각기 가입자선 반송 방식(SC: Subscriber Carrier system), 나선 반송 방식(OP: open wire carrier system)이 있다. ㉢방식은 특히 그룹별 2선식 반송 방식 또는 단거리 반송 방식이라 하며 주로 케이블 심선에 적용된다."
"2선식 중계기, 二線式中繼器, two-wire repeater",,"2선식 회선에 삽입하여 양방향의 신호를 동시에 증폭하기 위한 중계기. 여기에는 3권 변성기(hybrid) 코일 또는 필터를 사용하여 상승 신호와 하강 신호를 분리한 다음 2개의 증폭기로 따로따로 증폭하는 형태의 것과, 음성(陰性) 임피던스를 이용하여 상승 및 하강 신호를 동시에 증폭하는 것이 있다. 최근에는 후자가 많이 사용된다."
"2선식 회선, 二線式回線, two-wire circuit",,"실선 2가닥을 전송로로 사용하여 동시에 송수신이 가능하도록 한 통신 방식. 음성 회선의 2선식, 반송 회선의 2선식이 있다."
"2세대 위성 디지털 비디오 방송, 二世代衛星-放送, second generation DVB System for satellite broadcasting and unicasting, DVB-S2",,"디지털 비디오 방송(DVB) 프로젝트 그룹에서 위성 방송 규격인 DVB-S의 성능을 개선하여 제정한 2세대 디지털 위성 방송 규격. DVB-S와 호환을 유지하며 MPEG-2 및 H.264(MPEG-4 Part 10/AVC) 압축 방식과 호환되고, 전송 모드는 VCM(Variable Coding &amp; Modulation)과 ACM(Adaptive Coding &amp; Modulation)을 추가하며, 변조 방식도 QPSK에서 8PSK, 16APSK, 32APSK를 추가했고, 롤오프율은 0.35에서 0.25와 0.2를 추가하고, 순방향 오류 정정(FEC)은 효율이 좋은 저밀도 패리티 체크 코드(LDPC) 및 BCH 부호를 채택하여 성능을 대폭 개선했다. 이러한 성능 개선으로 위성 방송에서도 HDTV와 양방향 방송 서비스를 본격화 하였다."
"2세대 전자 상품 코드, 二世代電子商品-, Electronic Product Code Generation 2, EPC Gen2",,RFID 분야의 민간표준기구인 EPC글로벌이 ISO에 제안한 태그 방식. ISO/IEC 18000-6(UHF 대역 RFID 무선 인터페이스 통신)의 국제 표준으로 채택되었다.
"2소자 계전기, 二素子繼電器, two-element relay",,"2원적으로 동작하는 계전기. 예를 들면, 국부 코일과 궤도 코일이 있을 경우 국부 코일로 인해 생긴 자속으로 날개 또는 원판에 와전류를 일으키고, 여기에 궤도 코일 전류로 인해 생긴 자속이 작용하여 토크를 발생시키는 계전기이다."
"2신호 특성, 二信號特性, two-signal character",,"수신기의 혼신에 대한 선택도를 표시할 때, 원하는 신호와 방해 신호를 동시에 수신기에 가한 다음 일정한 방해가 일어날 경우의 양 신호의 주파수 차와 그 신호의 입력 전압 차로 표시되는 특성."
"2원 대칭 통신로, 二元對稱通信路, Binary Symmetric Channel, BSC",,①0과 1이 전송되는 도중에 0이 1로 착오되는 확률과 1이 0으로 착오되는 확률이 똑같은 통신로. ②2원 부호를 전송하는 통신로로서 그림과 같이 그 입출력 관계를 나타내는 확률이 대칭인 것. 대칭 2원 통신로라고도 한다.
"2원 상태, 二元狀態, binary condition",,"선택 가능한, 반대되는 두 성질에 의해 특징 지어지는 상태. yes와 no, 참과 거짓, on과 off 등이 있다."
"2원 소실 통신로, 二元消失通信路, binary erasure channel",,2원 부호를 전송하는 통신로로서 그 입출력 관계가 그림과 같은 것. 여기서 출력 기호 e는 대응하는 입력 기호의 판정이 불가능한 것을 나타낸다.
"2위상 레벨, 二位相-, biphase level",동의어 : 바이페이즈 레벨,"펄스 부호 변조(PCM) 통신에 사용하는 부호 형식의 일종. 통상 PCM 신호는 같은 시간 길이의 부호열로 되어 0 또는 1을 나타내고 있다. 2위상 레벨은 그림에 나타낸 것과 같이 1개의 부호에 대한 시간을 전반과 후반으로 나누어 그 레벨을 볼 때, 0인 때는 전반이 낮은 레벨, 후반이 높은 레벨로 되어 있으며, 1인 때는 역으로 전반이 높은 레벨, 후반이 낮은 레벨로 되어 있다. 이를 split phase라고도 한다."
"2의 보수, 二-補數, two`s complement",동의어 : 2의 채움수,"2진수 n자리(n비트)에 대하여 2n을 기수로 하는 경우의 보수. 실용적으로는 1의 보수에 1을 더하여 얻게 된다. 예로서, 1010의 2의 보수를 구해 보면,컴퓨터에서 가산기를 사용하여 뺄셈을 하기 위해 음수의 표현으로 자주 사용된다."
"2제어점 방식, 二制御點方式, two-control point method",,"4,000km 이상 떨어진 두 지점 사이의 최고 사용 주파수를 구하는 경우에 양 지점을 연결하는 대권(大圈) 진로상에 양 지점으로부터 각기 2,000km 떨어진 점을 구한 다음, 양 지점 상공의 제어점의 최고 사용 주파수를 비교하여 낮은 쪽을 그 통신로의 최고 사용 주파수로 하는 방법."
"2종 단말 장치, 二種端末裝置, Terminal Equipment Type 2, TE 2",,종합 정보 통신망(ISDN)에서 사용하는 가입자 단말 장치 중 표준 ISDN 인터페이스를 지원하지 않는 장치. 즉 미국 EIA의 업계 표준인 RS-232나 ITU-T의 V계열 및 X계열의 인터페이스와 같은 비표준 ISDN 인터페이스를 가진 기존의 단말 장치를 말한다. 2종 단말 장치는 비표준 ISDN 인터페이스를 표준 ISDN 인터페이스로 변환하는 단말 적응 접속 기능군(TA)을 경유하여 망 종단(NT) 장치에 접속되어야 한다.
"2종 망 종단 장치, 二種網終端裝置, Network Termination Type 2, NT 2",,"종합 정보 통신망(ISDN)의 망 종단 장치의 일종으로, 교환 기능과 데이터 집중 기능을 수행할 수 있는 지능형 장치. OSI 기본 참조 모델의 물리 계층(제1계층)에부터 망 계층(제3계층)까지의 기능을 수행하는 장치를 말한다. 디지털 사설 자동 구내 교환기(PABX), 구내 정보 통신망(LAN), 단말 제어 장치, 집선기(concentrators) 등이 이에 속한다."
"2주소 명령어, 二住所命令語, two-address instruction",동의어 : 2번지 명령,"컴퓨터 기계어 명령(instruction) 속에 2개의 주소를 포함하고 있는 것. 2주소 명령에는 2가지의 명령 형식이 있다. 그 하나는 2개의 주소가 모두 연산 대상(operand)의 지정에 사용되는 방식으로, 2개의 주소로 지정하는 기억 장치의 내용을 연산 대상으로 하여 그 결과를 어느 한 쪽의 주소에 써넣어도 된다. 어느 쪽에 써넣는지는 컴퓨터에 따라 다르다. 기억 장치 간 연산(memory to memory operation)에서는 연산 결과를 다시 기억 장치에 써넣기 때문에 특별히 일정한 길이의 연산 레지스터를 필요로 하지 않으므로 가변어 길이의 연산이 가능하게 된다. 바이트 방식 또는 문자 방식의 컴퓨터에 많이 사용된다. 두 번째의 명령 형식은 주소의 하나를 연산 대상을 지정하는 데 사용하고, 또 하나의 주소는 다음 명령의 주소를 지정하는 데 사용한다. 이것은 1＋1 주소 명령(one-plus-one address instruction)이라고도 부르는데, 자기 드럼 등을 주기억 장치로 사용하던 시절에 접근 시간을 최소화할 목적으로 사용하였으나 현재는 거의 사용하지 않는다."
"2주파 방식, 二周波方式, two-frequency system",,"①단일 통신로의 통신에서 송신 주파수와 수신 주파수가 다른 것. 이 방식에 의한 통신 방식으로는 복신(複信) 방식과 반복신 방식이 있다. ②마이크로파에 의한 무선 중계에서 중계 구간마다 2개의 주파수를 교차하여 사용하는 중계 방식. 즉 어느 구간에 f₁의 주파수, 다음 구간에 f₂, 그 다음 구간은 다시 f₁ 주파수를 사용하는 중계 방법이다."
"2중 바이오스 주기판, 二重-主基板, dual BIOS motherboard",동의어 : 듀얼 바이오스 메인보드,"컴퓨터에 주 바이오스(BIOS)와 백업 바이오스(BIOS)의 2개 칩을 가지고 있는 컴퓨터 주기판(마더보드). 바이오스 업데이트 도중에 발생할 수 있는 문제를 해소하고, 바이러스로부터 바이오스를 보호하는 기능을 한다.&nbsp;"
"2중 처리기, 二重處理器, dual processor",,"한 컴퓨터 시스템 내에서 기능이 동시에 수행되는 2개의 중앙 처리 장치. 2개의 프로세서가 동일한 기억 장치를 공유하고 있으므로 프로그램이나 데이터를 소프트웨어적으로 두 칩을 나누어 사용하도록 하여 분리 처리로 처리 효율을 높이고, 한 쪽 프로세서에 장애가 생기면 다른 쪽 처리기로 처리되는 등 신뢰성이 높지만, 자원 경합 등에 대한 부담이 커진다."
"2진 계수기, 二進計數器, binary counter",,①2진법에 의해 수를 헤아리는 계수기. ②2개의 안정 상태 중에 어느 하나를 지정해서 그 상태가 될 때에만 수를 하나씩 증가시켜 가는 계수기.
"2진 관계, 二進關係, binary relation",,"①두 집합 A, B에 대한 2항 관계 R는 두 집합의 카테시안 곱(Cartesian product) A×B의 부분 집합이다. 즉 R⊆A×B, (a, b)∈R일 때 aRb로 표시한다. ②차수가 2인 관계. 여기서 차수는 관계 내의 속성 수를 말한다."
"2진 기수법, 二進基數法, binary numeration system",,숫자 0과 1을 사용하며 기수(radix)가 2인 고정 기수 기수법(fixed-radix numeration system). 이 기수법에서는 예를 들어 110.01이라는 수는 6.25를 나타내며 1×22＋1×21＋1×2-2로 표현된다.
"2진 논리, 二進論理, binary logic",,"2개의 상태만을 나타낼 수 있는 디지털 논리 요소. 2개의 상태는 0과 1, 참과 거짓, 고와 저, on과 off 등과 같이 여러 가지로 해석할 수 있다. 컴퓨터 내부에서는 전위차로 구별이 된다. 예를 들면, 고전압을 1로, 저전압을 0으로 표기하는 것을 정 논리라고 부른다."
"2진 덤프 프로그램, 二進-, binary dump program",,기억 장치나 파일의 내용을 부호 표현대로 표시하는 프로그램. 보통은 2진수가 아닌 16진수 등의 형으로 표시한다.
"2진 동기 적응기, 二進同期適應器, Binary Synchronous Adapter, BSA",동의어 : 이진 동기맞춤틀,통신 회선을 개입시켜 중앙 처리 장치(CPU)와 다른 계산기 시스템이나 단말 장치 사이에서 동기식의 데이터 전송을 할 때 데이터의 송수신을 제어하는 프로그램 제어 모드의 장치.
"2진 동기 통신, 二進同期通信, Binary Synchronous Communication, BSC",,"통신국 간의 2진 부호 데이터의 동기 전송을 하기 위해 정의된 문자의 집합과 제어 문자 순서를 사용하는 프로토콜. 1968년에 IBM사에서 발표한 문자 중심의 프로토콜에서 전송 부호는 확장 2진화 10진 부호(EBCDIC) 256자, 아스키(ASCII) 128자, 트랜잭션(TRANS) 부호 64자 등이 이용된다. 2진 동기 통신(BSC)에서 사용하는 제어 문자는 대체로 동기를 위한 것, 필드 구분을 위한 것, 폴링과 선택을 위한 것, 오류 발생 여부를 알리기 위한 것 등으로 구분될 수 있다."
"2진 디지털 회로, 二進-回路, binary digital circuit",,1과 0의 2개 값을 가지고 동작하는 회로. 실용적으로 사용되는 거의 대부분의 논리 회로가 이에 속한다.
"2진 변환, 二進變換, binary conversion",,"2진수에서 10진수로의 변환 또는 16진수에서 2진수로의 변환 등과 같이, 2진수에서 다른 수로 또는 다른 수에서 2진수로 수 표기법을 변환하는 것."
"2진 소수점, 二進小數點, binary point",,수의 2진법 표현에서 정수 부분과 소수 부분으로 나뉘는 분리점. 10진법의 소수점과 유사하다.
"2진 숫자, 二進數字, binary digit",,①2진 기수법에서 사용되는 숫자. 즉 0과 1을 말한다. ②비트(bit)와 같은 의미.
"2진 신호, 二進信號, binary signal",,"신호를 보내는 매체가 2가지 상태만 나타내는 정보 통신 신호. 2개의 상태는 0과 1, 참과 거짓, 고와 저, on과 off 등으로 해석할 수 있다."
"2진 연산, 二進演算, binary operation",,"불 대수의 규칙과 응용을 따르는 연산, 즉 피연산자와 결과가 모두 비트로 나타나는 연산."
"2진 요소, 二進要素, binary element",,데이터를 구성하는 요소가 0과 1 또는 ＋와 - 등과 같이 2가지 상태만을 가질 수 있는 것.
"2진 이미지, 二進-, binary image",,"2가지의 신호만으로 구성되는 이미지. 보통은 회색도가 흑과 백으로만 이루어진 이미지을 말하며, 각각을 0과 1에 대응시킬 수 있다."
"2진 전송, 二進傳送, binary transmission",,"로직 0 및 1로 된 2진 숫자나 비트열의 전송. 컴퓨터와 기타 데이터 단말기들 사이에 교환되는 정보는 단순히 전압의 on-off 패턴으로 이루어진 2진 또는 펄스 형태로 되어 있다. 따라서 전송 매체는 펄스형 신호를 이상적으로 취급할 수 있어야 한다. 그래서 디지털 신호 전용을 위한 망이 사용되고 있다. 아날로그 전화 회로는 제한된 양의 저속 통신에 적합하도록 설계된 것이지, 다량의 고속 디지털 데이터를 전송하기 위한 것이 아니다. 음성 채널 설비에 그런 데이터를 전송할 수 있게 하기 위하여 데이터 처리용 2진 언어를 음성 통신용 아날로그로 변환시켜야 한다."
"2진 전치 승수, 二進前置乘數, binary prefix multiplier",,"1998년 국제 전기 표준 회의(IEC)에서 표준으로 인정한 2의 승수를 표시하는 전치 문자. kibi(Ki, 2의 10승), mebi(Mi, 2의 20승), gibi(Gi, 2의 30승), tebi(Ti, 2의 40승), pebi(Pi, 2의 50승), exbi(Ei, 2의 60승) 등이 있다. 예를 들면, 1kibibyte(1KiB)는 1024byte이다."
"2진 정합성 표준, 二進整合性標準, Binary Compatibility Standard, BCS",,"같은 구조(architecture)의 중앙 처리 장치(CPU)를 탑재하고 있는 다른 제조업체의 기계 사이에 응용 프로그램의 2진 레벨 이식성을 확보하기 위한 규격. CPU 고유의 구조에 의존하는 부분도 있으므로 대상으로 하는 CPU마다 규격이 조금씩 다르다. 응용 프로그램 2진 인터페이스(ABI)와 같은 의미이지만 ABI는 유닉스 시스템 V Release 4 기반의 규격이고, 2진 정합성 표준(BCS)은 시스템 V Release 3.2 기반의 규격이다."
"2진 주소, 二進住所, binary address",동의어 : 2진 번지,"컴퓨터의 기억 장치 내에 할당하는 2진수로 된 주소. 디지털 컴퓨터는 처리 지령과 정보 처리를 부호화하여 실행하며, 기능, 정밀도, 속도, 용량 등에서 2원 요소를 조합한 부호로 2진수를 사용한다. 주요 기능인 기억 장치를 비롯한 각 기능은 부호에 따라 처리되고, 여러 가지 정보는 일단 기억 장소에 저장하는데, 기억 장치 내에 할당하는 주소 수치에 2진법을 사용한다. 10진수 주소 방식보다 주소 지정이나 해독기 회로가 간단하다."
"2진 지수 백오프, 二進指數-, binary exponential backoff",,반송파 감지 다중 접속/충돌 탐지(CSMA/CD) 방식의 구내 정보 통신망(LAN)에서 버스상의 충돌이 발생했을 때 전송을 다시 시도하기까지의 지연 시간을 계산하기 위한 연산 중의 하나. 충돌이 일어날 때마다 임의 지연 시간을 점차 늘려 나가는 방식이다.
"2진 체계, 二進體系, binary system",,0과 1의 2개 숫자를 기초로 하여 그 2개의 숫자만을 조합해서 사용하는 수 시스템. 전압이 있고 없음에 따라서 지시되는 on과 off라는 컴퓨터 회로의 두 상태에 의해 0과 1을 표시할 수 있기 때문에 컴퓨터에서 편리하게 사용되고 있다.
"2진 카운트다운, 二進-, binary countdown",,"데이터 통신에서 하나의 지국(station)이 하나의 채널을 점유하면 경쟁 기간 동안에 충돌이 발생하는데, 이러한 충돌을 없애고 경쟁을 해결하기 위해 사용하는 방식."
"2진화 8진수, 二進化八進數, binary coded octal",,"8진수의 숫자를 나타내기 위해 2진수(0, 1)를 사용하는 부호법. 8진법 214는 이 부호법으로 010 001 100으로 표현되며, 2진법으로는 10001100이다. 이 부호법과 2진법이 다른 점은 구두점이 없고 왼쪽 첫머리의 0이 떨어져 나가는 것이다."
"2진화 문자, 二進化文字, binary-coded character",,"10진 숫자나 알파벳, 특수한 문자들을 연속된 2진 부호로 표시하는 표현법."
"2차 CDMA 채널, 二次-, secondary CDMA channel",,이동국이 초기에 저속 확보를 위해 사용하는 미리 할당된 주파수의 CDMA 채널.
"2차 DNS 서버, 二次-, secondary DNS server",,"도메인 네임 서버(DNS)의 일종. 1차 도메인 네임 서버를 보조하며, 1차 도메인 서버 고장으로 큰 부하가 가해져서 응답 성능이 떨어졌을 때 큰 효과를 발휘한다. 2차 도메인 네임 서버는 1차 도메인 네임 서버로부터 받은 데이터 복사본으로 자신의 데이터를 갱신할 수는 없다. 따라서 1차 도메인 네임 서버의 데이터 갱신 시 동기되어 최신 데이터가 유지된다. 2차 도메인 네임 서버와 유사한 것으로는 캐시 도메인 네임 서버가 있다.→도메인 네임 서버"
"2차 감시 레이더, 二次監視-, Secondary Surveillance Radar, SSR",,지상에서의 질문 전파 방사에 대응해서 항공기의 ATC 트랜스폰더로부터 송출되는 응답 전파를 근거로 항공기의 식별과 고도 등의 정보를 획득하여 레이더 스코프상에 표시하기 위한 레이더.
"2차 감시 레이더 모드 S, 二次監視-, Secondary Surveillance Radar Mode S, SSR mode S",,"2차 감시 레이더(SSR)의 감시 기능을 향상시켜 데이터 통신 기능을 부가한 시스템. 모드 S는 지상의 질문 장치(모드 S 감지기)와 항공기의 응답 장치(모드 S 트랜스 폴더) 등으로 구성되어 있으며, 질문 및 응답 주파수는 SSR과의 양립성을 갖도록 하기 위해서 SSR에서 사용하는 것과 동일하다. 2차 감시 레이더 모드 S에서는 항공기 식별을 위한 코드를 종래의 12비트에서 24비트로 확대함으로서 개개 항공기에 고유 부호를 붙일 수 있다."
"2차군 속도 인터페이스, 二次群速度-, secondary rate user-network interface",,"고속 디지털 전송 서비스에서 제공하는 사용자-망 인터페이스의 하나. 전송 속도와 다중화 회선 수를 한국과 유럽은 8,448Mbps/ 120ch를 채용하고 있으며 미국과 일본 등은 6,312Mbps/96ch를 채용하고 있다."
"2차 데이터 사용, 二次-使用, secondary data uses",,개인 정보를 1차로 수집한 이외의 사람을 위해 사용하는 것. 공정 정보 규정(FIP)에서는 특정 목적을 위해 개인 정보를 제공할 수 있다고 규정하고 있다.
"2차 레이더, 二次-, secondary radar",,①목표가 갖고 있는 응답기를 구동시킴에 따라 발생하는 응답 신호를 사용하는 레이더. ②트랜스폰더를 갖춘 물체 표적과 함께 동작하는 레이더.
"2차 링, 二次-, secondary ring",,"광섬유 분산 데이터 인터페이스(FDDI : fiber distributed data interface) 링이나 동선 분산 데이터 인터페이스(CDDI : copper distributed data interface) 링을 구성하는 2개의 링 중 하나. 흔히 2차 링은 1차 링이 고장났을 때 사용할 수 있도록 보류된다. 또한 리던던트 백업 패스(redundant backup pass) 기능을 가지며, 별도의 100Mbps의 전송로 역할도 한다."
"2차 방사, 二次放射, secondary radiation",,도래(arrival) 전파를 받아서 안테나 소자에 유기 전류(induced current)가 흐를 때 그 전류로 인해 새로운 전파의 방사가 발생하는 것.
"2차 분배 회선, 二次分配回線, secondary distribution link",,유선 분배망의 헤드엔드로부터 종합 유선 방송(CATV) 가입자까지의 분배망. →1차 분배 회선.
